# https://en.wikipedia.org/wiki/Mobile_country_code
28020;PrimeTel
28022;lemontel
28201;Geocell
28202;Magti
28203;MagtiFix
28204;Cellfie
28205;S1
28207;GlobalCell
28208;Silk LTE
28301;Team
28305;Viva Armenia
28310;Ucom
28401;A1 BG
28403;Vivacom
28405;Yettel
28407;НКЖИ
28601;Turkcell
28602;Vodafone
28603;Türk Telekom
28801;Føroya Tele
28802;Nema
28967;Aquafon
28988;A-Mobile
29001;tusass
29002;Nanoq Media
29003;Tuullik mobile data
29340;A1 SI
29341;Mobitel
29364;T-2
29370;Telemach
29401;Telekom.mk
29403;A1 MK
29404;Lycamobile
29501;Swisscom
29502;7acht
29505;FL1
29506;Cubic Telecom
29701;One
29702;telekom.me
29703;m:tel
302131;Xplore
302220;Koodo Mobile
302270;EastLink
302300;ECOTEL
302301;ECOTEL
302310;ECOTEL
302320;Rogers Wireless
302340;Execulink
302352;Lyttonnet
302370;Fido
302380;Keewaytinook Mobile
302420;Telus
302480;Qiniq
302490;Freedom Mobile
302500;Videotron
302510;Videotron
302520;Vidéotron
302530;Keewaytinook Mobile
302590;Quadro Mobility
302610;Bell Mobility
302620;ICE Wireless
302650;TBaytel
302660;MTS
302680;SaskTel
302690;Bell
302710;Globalstar
302720;Rogers Wireless
302760;Public Mobile
302770;TNW Wireless
302780;SaskTel
302880;Bell
302940;Wightman Mobility
30801;Ameris
30802;GLOBALTEL
310004;Verizon
310006;Verizon
310010;Verizon
310012;Verizon
310020;Union Wireless
310032;IT&E Wireless
310032;IT&E Wireless
310034;Airpeak
310050;GCI
310053;Virgin Mobile
310066;UScellular
310070;AT&T
310080;AT&T
310090;AT&T
310100;Plateau Wireless
310110;IT&E Wireless
310110;IT&E Wireless
310120;T-Mobile
310130;Carolina West Wireless
310140;GTA Wireless
310140;GTA Wireless
310150;AT&T
310170;AT&T
310190;GCI
310260;T-Mobile
310260;T-Mobile
310260;T-Mobile
310320;Cellular One
310340;Limitless Mobile
310370;Docomo
310370;Docomo
310370;Docomo
310390;Cellular One of East Texas
310410;AT&T
310420;World Mobile
310430;GCI
310450;Viaero
310480;IT&E Wireless
310480;IT&E Wireless
310500;Alltel
310650;Jasper
310680;AT&T
310690;Limitless Mobile
310710;ASTAC
310740;Viaero
310830;T-Mobile
310840;telna Mobile
310850;Aeris
310880;DTC Wireless
310950;AT&T
310990;Evolve Broadband
311040;Choice Wireless
311070;AT&T
311080;Pine Cellular
311090;AT&T
311120;IT&E Wireless
311120;IT&E Wireless
311140;Bravado Wireless
311230;C Spire
311320;Choice Wireless
311330;Bug Tussel Wireless
311350;Nemont
311370;GCI Wireless
311420;NorthwestCell
311450;PTCI
311470;Viya
311470;Viya
311480;Verizon
311550;Choice Wireless
311560;OTZ Cellular
311580;UScellular
311600;Limitless Mobile
311640;Rock Wireless
311650;United Wireless
311660;Metro
311670;Pine Belt Wireless
311780;ASTCA
311780;ASTCA
311840;Cellcom
311850;Cellcom
311860;STRATA
311882;T-Mobile
311970;Big River Broadband
312030;Bravado Wireless
312080;SyncSouth
312120;Appalachian Wireless
312130;Appalachian Wireless
312150;NorthwestCell
312160;Chat Mobility
312300;telna Mobile
312330;Nemont
312370;Choice Wireless
312390;FTC Wireless
312470;Carolina West Wireless
312530;T-Mobile
312570;Impact
312590;NMU
312670;FirstNet
312720;Southern LINC
312900;ClearTalk
313020;CTC Wireless
313040;NNTC Wireless
313100;FirstNet
313340;Dish
313460;mobi
313510;Claro
313770;Tango Extend
313790;Liberty
313790;Liberty
313790;Liberty
313860;Nextlink
313890;TCOE
313930;Rock Wireless
314490;UETN
314540;RGTN
314550;REALLY
314680;Xfinity
330000;Open Mobile
330110;Claro Puerto Rico
330120;Open Mobile
334020;Telcel
334030;Movistar
334050;Unefon
334090;AT&T
334140;Red Compartida
334150;Ultranet
334180;FreedomPop
334190;Viasat
334200;Virgin Mobile
334210;YO Mobile
334220;Megamóvil
338050;Digicel
338050;Digicel
33805;Digicel
33805;Digicel
33805;Digicel
33805;Digicel
338180;FLOW
34001;Orange
34001;Orange
34002;SFR Caraïbe
34002;SFR Caraïbe
34003;FLOW
34008;Dauphin
34020;Digicel
34020;Digicel
342600;FLOW
342750;Digicel
344030;APUA
344050;Digicel
344920;FLOW
346140;FLOW
348170;FLOW
348570;CCT Boatphone
348770;Digicel
35000;One
352030;Digicel
352110;FLOW
354860;FLOW
356050;Digicel
356070;FLOW
356110;FLOW
358110;FLOW
360050;Digicel
360110;FLOW
36251;Telcell
36254;ECC
36260;FLOW
36268;Digicel
36269;Digicel
36276;Digicel
36278;Kla Mobile
36291;FLOW
36294;Bayòs
36301;SETAR
36302;Digicel
36439;BTC
36449;Aliv
365840;FLOW
366020;Digicel
366110;FLOW
36801;CUBACEL
37001;Altice
37002;Claro
37003;Altice
37004;Viva
37005;Wind
37202;Digicel
37203;Natcom
37412;bmobile
374130;Digicel
376350;FLOW
40001;Azercell
40002;Bakcell
40003;FONEX
40004;Nar Mobile
